location,url,skip
Enschede,https://fwango.io/enschedeopen,true
Groningen,https://fwango.io/groningenopen23,true
Amsterdam,https://fwango.io/amsterdamopen2023,true
NK,https://fwango.io/nkroundnet2023,true
Enschede,https://fwango.io/rnlindoorenschede,true
Amsterdam,https://fwango.io/roundnetamsterdamindoor2024,true
Groningen,https://fwango.io/indoorgroningen2024,true
Enschede,https://fwango.io/enschdegrandslam,true
Groningen,https://fwango.io/grandslamgroningen,true
Amsterdam,https://fwango.io/amsterdam-grand-slam,true
NK,https://fwango.io/nkroundnet2024,true
EnschedeIndoor,https://fwango.io/rnlindoorgrandslamenschede2425,true
GroningenIndoor,https://fwango.io/rnlindoorgrandslamgroningen2425,true
AmsterdamIndoor,https://fwango.io/roundnet-amsterdam-grandslam,true
UtrechtIndoor,https://fwango.io/indoorutrecht,true
Groningen,https://fwango.io/groningenoutdoor2025,false
Enschede,https://fwango.io/enschede-grandslam-2025,true
Amsterdam,https://fwango.io/grandslam-amsterdam-open,true