name,rank,points,2023-09-02_NK_rank,2023-09-02_NK_points,2024-06-29_NK_rank,2024-06-29_NK_points
Quinten van Duin,1,1000,1.0,1000.0,,
Nikola Gersanov,1,1000,,,1.0,1000.0
Niels van Weerdenburg,1,1000,1.0,1000.0,,
Klemen Peganc,1,1000,,,1.0,1000.0
Luc van Iperen,5,900,,,2.0,900.0
Tim de Goede,5,900,2.0,900.0,,
Maikel Tuit,5,900,2.0,900.0,,
Koen Franken ,5,900,,,2.0,900.0
JurriÃ«n van Marle,9,800,,,3.0,800.0
Steven biemans,9,800,3.0,800.0,,
Julian Baks,9,800,,,3.0,800.0
Kevin Focke,9,800,3.0,800.0,,
Steven Biemans,13,700,,,4.0,700.0
Ricardo Brouwer,13,700,4.0,700.0,,
Arjen Poulie,13,700,4.0,700.0,,
Jary Koijman ,13,700,,,4.0,700.0
fabio groen,17,500,6.0,500.0,,
Rianne Voerman,17,500,5.0,500.0,,
Daphne Lardinois,17,500,,,6.0,500.0
David Hielkema,17,500,,,5.0,500.0
Jary Kooijman,17,500,5.0,500.0,,
Sjef Holl,17,500,,,6.0,500.0
Rogier Edelschaap,17,500,,,5.0,500.0
Riccardo Minelli,17,500,6.0,500.0,,
Wim Verschuren,25,400,8.0,400.0,,
Bo Zonneveld,25,400,8.0,400.0,,
Gijs van Gerwen,25,400,,,8.0,400.0
Rafael Nierse,25,400,7.0,400.0,,
Hannes Holl,25,400,7.0,400.0,,
Janna Jansma,25,400,,,8.0,400.0
Magali de Rooy,25,400,,,7.0,400.0
Jeroen Vriens,25,400,,,7.0,400.0
Joris Piree,33,300,,,11.0,300.0
Marieke Goode,33,300,,,9.0,300.0
Stan van Bentum,33,300,,,10.0,300.0
Bas Ramaekers,33,300,,,11.0,300.0
Lech Backhuizen,33,300,,,9.0,300.0
Jurre Buiting,33,300,,,10.0,300.0
