Player Name,Rank,Ranking Points,Best tournament,Second best tournament,Third best tournament
Roos van der Wielen,1,1523,NK 2024-06-29 - Place: 2 Points: 1033.2,NK 2023-09-02 - Place: 4 Points: 490.0,
Ilonka Thielen,2,1478,NK 2024-06-29 - Place: 3 Points: 918.4,NK 2023-09-02 - Place: 3 Points: 560.0,
Roos van der Donk,3,1478,NK 2024-06-29 - Place: 3 Points: 918.4,NK 2023-09-02 - Place: 3 Points: 560.0,
Lauri Schippers,4,1179,NK 2024-06-29 - Place: 5 Points: 688.8,NK 2023-09-02 - Place: 4 Points: 490.0,
Agnes Berveling,5,1154,NK 2024-06-29 - Place: 4 Points: 803.6,NK 2023-09-02 - Place: 7 Points: 350.0,
Shauny Dieltjes,6,1148,NK 2024-06-29 - Place: 1 Points: 1148.0,,
Shannon Dieltjes,7,1148,NK 2024-06-29 - Place: 1 Points: 1148.0,,
Mady Smit,8,1033,NK 2024-06-29 - Place: 2 Points: 1033.2,,
Lise Pieper,9,924,NK 2024-06-29 - Place: 7 Points: 574.0,NK 2023-09-02 - Place: 7 Points: 350.0,
Suzanne Slob,10,804,NK 2024-06-29 - Place: 4 Points: 803.6,,
Michelle Sudjito,11,739,NK 2024-06-29 - Place: 11 Points: 459.2,NK 2023-09-02 - Place: 10 Points: 280.0,
Britt Engel,12,739,NK 2024-06-29 - Place: 11 Points: 459.2,NK 2023-09-02 - Place: 10 Points: 280.0,
Eline Meijer,13,700,NK 2023-09-02 - Place: 1 Points: 700.0,,
Sophie Bouma,14,700,NK 2023-09-02 - Place: 1 Points: 700.0,,
Jannah Sonnenschein,15,689,NK 2024-06-29 - Place: 5 Points: 688.8,,
Pippa Schippers,16,689,NK 2024-06-29 - Place: 6 Points: 688.8,,
Sanne Schra,17,689,NK 2024-06-29 - Place: 6 Points: 688.8,,
Tessel van Manen,18,630,NK 2023-09-02 - Place: 2 Points: 630.0,,
Lauma Ernestsone,19,630,NK 2023-09-02 - Place: 2 Points: 630.0,,
Marta devesa Cabrera,20,574,NK 2024-06-29 - Place: 7 Points: 574.0,,
Dana Voerman,21,574,NK 2024-06-29 - Place: 8 Points: 574.0,,
Rianne Voerman,22,574,NK 2024-06-29 - Place: 8 Points: 574.0,,
Maud Wieland,23,459,NK 2024-06-29 - Place: 9 Points: 459.2,,
Lisa Theijsmeijer,24,459,NK 2024-06-29 - Place: 9 Points: 459.2,,
Nici Friedman,25,459,NK 2024-06-29 - Place: 10 Points: 459.2,,
Laura Verstraete,26,459,NK 2024-06-29 - Place: 10 Points: 459.2,,
Clemence Joly,27,459,NK 2024-06-29 - Place: 12 Points: 459.2,,
Maud Loiseau,28,459,NK 2024-06-29 - Place: 12 Points: 459.2,,
Jessica Borgers,29,420,NK 2023-09-02 - Place: 5 Points: 420.0,,
Annabel Beiner,30,420,NK 2023-09-02 - Place: 5 Points: 420.0,,
Merel Buijs,31,420,NK 2023-09-02 - Place: 6 Points: 420.0,,
Sophia Walser,32,420,NK 2023-09-02 - Place: 6 Points: 420.0,,
Annelies van Cooten,33,350,NK 2023-09-02 - Place: 8 Points: 350.0,,
Anna Strijker,34,350,NK 2023-09-02 - Place: 8 Points: 350.0,,
Merel Peletier,35,280,NK 2023-09-02 - Place: 9 Points: 280.0,,
JuliÃ«tte Peletier,36,280,NK 2023-09-02 - Place: 9 Points: 280.0,,
Anneke Poelen,37,280,NK 2023-09-02 - Place: 11 Points: 280.0,,
Dorette Kouwenhoven,38,280,NK 2023-09-02 - Place: 11 Points: 280.0,,
Emma Boom,39,280,NK 2023-09-02 - Place: 12 Points: 280.0,,
Roos Denisse,40,280,NK 2023-09-02 - Place: 12 Points: 280.0,,
