name,rank,points,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Nikola Gersanov,1,1000,,,,1.0,1000.0,1000.0
Klemen Peganc,1,1000,,,,1.0,1000.0,1000.0
Luc van Iperen,3,900,,,,2.0,900.0,900.0
Koen Franken ,3,900,,,,2.0,900.0,900.0
Quinten van Duin,5,800,1.0,1000.0,800.0,,,
Niels van Weerdenburg,5,800,1.0,1000.0,800.0,,,
Julian Baks,5,800,,,,3.0,800.0,800.0
JurriÃ«n van Marle,5,800,,,,3.0,800.0,800.0
Tim de Goede,9,720,2.0,900.0,720.0,,,
Maikel Tuit,9,720,2.0,900.0,720.0,,,
Steven Biemans,11,700,,,,4.0,700.0,700.0
Jary Koijman ,11,700,,,,4.0,700.0,700.0
Kevin Focke,13,640,3.0,800.0,640.0,,,
Steven biemans,13,640,3.0,800.0,640.0,,,
Ricardo Brouwer,15,560,4.0,700.0,560.0,,,
Arjen Poulie,15,560,4.0,700.0,560.0,,,
Daphne Lardinois,17,500,,,,6.0,500.0,500.0
David Hielkema,17,500,,,,5.0,500.0,500.0
Sjef Holl,17,500,,,,6.0,500.0,500.0
Rogier Edelschaap,17,500,,,,5.0,500.0,500.0
Rianne Voerman,21,400,5.0,500.0,400.0,,,
Janna Jansma,21,400,,,,8.0,400.0,400.0
Riccardo Minelli,21,400,6.0,500.0,400.0,,,
Gijs van Gerwen,21,400,,,,8.0,400.0,400.0
fabio groen,21,400,6.0,500.0,400.0,,,
Jary Kooijman,21,400,5.0,500.0,400.0,,,
Jeroen Vriens,21,400,,,,7.0,400.0,400.0
Magali de Rooy,21,400,,,,7.0,400.0,400.0
Hannes Holl,29,320,7.0,400.0,320.0,,,
Rafael Nierse,29,320,7.0,400.0,320.0,,,
Bo Zonneveld,29,320,8.0,400.0,320.0,,,
Wim Verschuren,29,320,8.0,400.0,320.0,,,
Joris Piree,33,300,,,,11.0,300.0,300.0
Marieke Goode,33,300,,,,9.0,300.0,300.0
Stan van Bentum,33,300,,,,10.0,300.0,300.0
Bas Ramaekers,33,300,,,,11.0,300.0,300.0
Lech Backhuizen,33,300,,,,9.0,300.0,300.0
Jurre Buiting,33,300,,,,10.0,300.0,300.0
