name,rank,points,Best result 1,Best result 2,Best result 3,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Roos van der Wielen,1,2770,1890,880,,,,,1,1100,880,1,1890,1890,,,
Mady Smit,1,2770,1890,880,,,,,1,1100,880,1,1890,1890,,,
Sam Beard,3,2664,1341,1323,,,,,,,,4,1323,1323,2,1341,1341
Niels van Weerdenburg,4,2297,1701,596,,,,,,,,2,1701,1701,8,596,596
Quinten van Duin,4,2297,1701,596,,,,,,,,2,1701,1701,8,596,596
Lars Bouma,6,2194,1490,704,,,,,3,880,704,,,,1,1490,1490
Agnes Berveling,7,2115,1323,792,,,,,2,990,792,4,1323,1323,,,
Bart Derks,8,1952,1512,440,,,,,6,550,440,3,1512,1512,,,
Tom Ottenheim,8,1952,1512,440,,,,,6,550,440,3,1512,1512,,,
Jannah Sonnenschein,10,1537,945,352,240,9,300,240,7,440,352,6,945,945,,,
Bauke van der Kooij,11,1490,1490,,,,,,,,,,,,1,1490,1490
Konradin Müskens,12,1483,1043,440,,,,,5,550,440,,,,4,1043,1043
Linde Van Wambeke,13,1460,756,704,,,,,3,880,704,7,756,756,,,
Carel Van Goch,14,1359,792,567,,,,,2,990,792,9,567,567,,,
Omar el tambouli,15,1341,1341,,,,,,,,,,,,2,1341,1341
Lauri Schippers,16,1297,945,352,,,,,7,440,352,6,945,945,,,
Tom Caniels,17,1223,1043,180,,16,225,180,,,,,,,4,1043,1043
Maikel Schills,18,1192,1192,,,,,,,,,,,,3,1192,1192
Carel van Goch,18,1192,1192,,,,,,,,,,,,3,1192,1192
Marjolein Veldman,20,1091,756,335,,,,,,,,8,756,756,15,335,335
Lukas Schubotz,21,996,596,400,,6,500,400,,,,,,,7,596,596
Thijs Benschop,21,996,596,400,,6,500,400,,,,,,,7,596,596
Sven Gerritsen,23,945,945,,,,,,,,,5,945,945,,,
Konstantin Dimov,23,945,945,,,,,,,,,5,945,945,,,
David Teel,25,800,800,,,1,1000,800,,,,,,,,,
Sander Breman,25,800,800,,,1,1000,800,,,,,,,,,
Sanne Schra,27,756,756,,,,,,,,,7,756,756,,,
Haiko Rijkers,27,756,756,,,,,,,,,8,756,756,,,
Fabian van Hummel,29,745,745,,,,,,,,,,,,5,745,745
Steffen Gastineau,29,745,745,,,,,,,,,,,,6,745,745
Luke Wright,29,745,745,,,,,,,,,,,,6,745,745
Jasper Hermsen,29,745,745,,,,,,,,,,,,5,745,745
Wouter Van Tongeren,33,720,720,,,2,900,720,,,,,,,,,
Arthur Boerman,33,720,720,,,2,900,720,,,,,,,,,
Florian Verduijn,35,640,640,,,3,800,640,,,,,,,,,
Geert Douwe de Vries,35,640,640,,,3,800,640,,,,,,,,,
Gijs van Gerwen,37,620,440,180,,16,225,180,5,550,440,,,,,,
Luuk Geelen,38,616,616,,,,,,4,770,616,,,,,,
Peter Vree,38,616,616,,,,,,4,770,616,,,,,,
Ieke Berens,40,575,335,240,,11,300,240,,,,,,,14,335,335
Thieri Balk,40,575,335,240,,11,300,240,,,,,,,14,335,335
Maikel Schils,42,567,567,,,,,,,,,9,567,567,,,
Luuk vd Klein,42,567,567,,,,,,,,,11,567,567,,,
Pippa Schippers,42,567,567,,,,,,,,,11,567,567,,,
Rebecca Fagerland,42,567,567,,,,,,,,,12,567,567,,,
Thibaut Weller,42,567,567,,,,,,,,,10,567,567,,,
Raphaël Wiedmer,42,567,567,,,,,,,,,12,567,567,,,
Melanie Haeusel,42,567,567,,,,,,,,,10,567,567,,,
Twan Zonneveld,49,560,560,,,4,700,560,,,,,,,,,
Koen Zonneveld,49,560,560,,,4,700,560,,,,,,,,,
Frank Buigel,51,447,447,,,,,,,,,,,,12,447,447
P muller,51,447,447,,,,,,,,,,,,12,447,447
Milan Klaasman,51,447,447,,,,,,,,,,,,9,447,447
M Saeidi ,51,447,447,,,,,,,,,,,,11,447,447
Remco Klaasman,51,447,447,,,,,,,,,,,,9,447,447
Stan an der Enden,51,447,447,,,,,,,,,,,,10,447,447
Adam Drong,51,447,447,,,,,,,,,,,,10,447,447
B houweling,51,447,447,,,,,,,,,,,,11,447,447
Rianne Voerman,59,425,425,,,,,,,,,14,425,425,,,
Rémi Bummel,59,425,425,,,,,,,,,16,425,425,,,
Tale Lechtenbörger,59,425,425,,,,,,,,,15,425,425,,,
Klāvs Kalvenieks,59,425,425,,,,,,,,,16,425,425,,,
Jess Moore,59,425,425,,,,,,,,,13,425,425,,,
Jasper Voerman,59,425,425,,,,,,,,,14,425,425,,,
Lars Jürgensen,59,425,425,,,,,,,,,13,425,425,,,
Sanne Hogesteeger,59,425,425,,,,,,,,,15,425,425,,,
Job van Maastricht,67,400,400,,,5,500,400,,,,,,,,,
Remon Poelman,67,400,400,,,5,500,400,,,,,,,,,
Sarah Sommerschuh,69,352,352,,,,,,8,440,352,,,,,,
Lise Pieper,69,352,352,,,,,,8,440,352,,,,,,
Joep de Jonge,71,335,335,,,,,,,,,,,,13,335,335
Wik de Waal,71,335,335,,,,,,,,,,,,16,335,335
Zachary Meredith,71,335,335,,,,,,,,,,,,15,335,335
Pepijn van der Put,71,335,335,,,,,,,,,,,,13,335,335
Enno Biewinga,71,335,335,,,,,,,,,,,,16,335,335
Niels van de Graaf,76,320,320,,,8,400,320,,,,,,,,,
Bram Houweling,76,320,320,,,7,400,320,,,,,,,,,
Sjef Holl,76,320,320,,,7,400,320,,,,,,,,,
Ivo Wester,76,320,320,,,8,400,320,,,,,,,,,
Bram Slemmer,80,284,284,,,,,,,,,19,284,284,,,
Alexis Carras,80,284,284,,,,,,,,,23,284,284,,,
Arabi Alhumsi,80,284,284,,,,,,,,,23,284,284,,,
Daan Appels,80,284,284,,,,,,,,,18,284,284,,,
Clemence Joly,80,284,284,,,,,,,,,24,284,284,,,
Michael Wekking,80,284,284,,,,,,,,,22,284,284,,,
Mata Njunga,80,284,284,,,,,,,,,18,284,284,,,
Mátyás Papp,80,284,284,,,,,,,,,21,284,284,,,
Jary Kooijman,80,284,284,,,,,,,,,19,284,284,,,
Lech Bakhuizen V.d. Brink,80,284,284,,,,,,,,,20,284,284,,,
Klemen Peganc,80,284,284,,,,,,,,,17,284,284,,,
Wiebe De Gruijter,80,284,284,,,,,,,,,22,284,284,,,
juho viljanen,80,284,284,,,,,,,,,21,284,284,,,
Maud Wieland,80,284,284,,,,,,,,,20,284,284,,,
Nikola Geršanov,80,284,284,,,,,,,,,17,284,284,,,
Marko Krunic,80,284,284,,,,,,,,,24,284,284,,,
Michelle Sudjito,96,264,264,,,,,,9,330,264,,,,,,
Marjolijn van Schagen,96,264,264,,,,,,9,330,264,,,,,,
Thijmen Calis,98,240,240,,,12,300,240,,,,,,,,,
Jan Albert van der Velde,98,240,240,,,10,300,240,,,,,,,,,
Luuk Nugteren,98,240,240,,,12,300,240,,,,,,,,,
Daan Beelen,98,240,240,,,10,300,240,,,,,,,,,
Adnan Jerbi,98,240,240,,,9,300,240,,,,,,,,,
Florian Vacek,103,224,224,,,,,,,,,,,,18,224,224
Annelies van Cooten,103,224,224,,,,,,,,,,,,19,224,224
Hugo Degerth,103,224,224,,,,,,,,,,,,20,224,224
Jurd Smith,103,224,224,,,,,,,,,,,,19,224,224
Tijmen van der Put,103,224,224,,,,,,,,,,,,17,224,224
Daniel Doe,103,224,224,,,,,,,,,,,,20,224,224
Pim de Jonge,103,224,224,,,,,,,,,,,,17,224,224
Sebastiaan van Zanten,103,224,224,,,,,,,,,,,,18,224,224
Casper Zomerdijk,111,180,180,,,15,225,180,,,,,,,,,
Roel Teillers,111,180,180,,,13,225,180,,,,,,,,,
Nicole IJff,111,180,180,,,15,225,180,,,,,,,,,
Ewout Buurma,111,180,180,,,14,225,180,,,,,,,,,
Tymo Berger,111,180,180,,,13,225,180,,,,,,,,,
Meint-Jan Elzinga,111,180,180,,,14,225,180,,,,,,,,,
Huub Capelleveen,117,120,120,,,19,150,120,,,,,,,,,
Joep van den Heuvel,117,120,120,,,18,150,120,,,,,,,,,
Joost van Vugt,117,120,120,,,18,150,120,,,,,,,,,
Mattis Hennig,117,120,120,,,17,150,120,,,,,,,,,
Magali de Rooy,117,120,120,,,17,150,120,,,,,,,,,
Tom van den Heuvel,117,120,120,,,19,150,120,,,,,,,,,
