name,rank,points,Best result 1,Best result 2,Best result 3,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Roos van der Wielen,1,2180,1620,560,0,4,700,560,2,1620,1620
Ilonka Thielen,2,2080,1440,640,0,3,800,640,3,1440,1440
Roos van der Donk,2,2080,1440,640,0,3,800,640,3,1440,1440
Shannon Dieltjes,4,1800,1800,,0,,,,1,1800,1800
Shauny Dieltjes,4,1800,1800,,0,,,,1,1800,1800
Mady Smit,6,1620,1620,,0,,,,2,1620,1620
Agnes Berveling,7,1580,1260,320,0,7,400,320,4,1260,1260
Lauri Schippers,8,1460,900,560,0,4,700,560,5,900,900
Suzanne Slob,9,1260,1260,,0,,,,4,1260,1260
Lise Pieper,10,1040,720,320,0,7,400,320,7,720,720
Pippa Schippers,11,900,900,,0,,,,6,900,900
Jannah Sonnenschein,11,900,900,,0,,,,5,900,900
Sanne Schra,11,900,900,,0,,,,6,900,900
Sophie Bouma,14,800,800,,0,1,1000,800,,,
Eline Meijer,14,800,800,,0,1,1000,800,,,
Britt Engel,16,780,540,240,0,10,300,240,11,540,540
Michelle Sudjito,16,780,540,240,0,10,300,240,11,540,540
Dana Voerman,18,720,720,,0,,,,8,720,720
Rianne Voerman,18,720,720,,0,,,,8,720,720
Marta Devesa Cabrera,18,720,720,,0,,,,7,720,720
Tessel van Manen,21,720,720,,0,2,900,720,,,
Lauma Ernestsone,21,720,720,,0,2,900,720,,,
Clemence Joly,23,540,540,,0,,,,12,540,540
Nici Friedman,23,540,540,,0,,,,10,540,540
Maud Wieland,23,540,540,,0,,,,9,540,540
Maud Loiseau,23,540,540,,0,,,,12,540,540
Laura Verstraete,23,540,540,,0,,,,10,540,540
Lisa Theijsmeijer,23,540,540,,0,,,,9,540,540
Merel Buijs,29,400,400,,0,6,500,400,,,
Sophia Walser,29,400,400,,0,6,500,400,,,
Jessica Borgers,29,400,400,,0,5,500,400,,,
Annabel Beiner,29,400,400,,0,5,500,400,,,
Anna Strijker,33,320,320,,0,8,400,320,,,
Annelies van Cooten,33,320,320,,0,8,400,320,,,
Anneke Poelen,35,240,240,,0,11,300,240,,,
JuliÃ«tte Peletier,35,240,240,,0,9,300,240,,,
Emma Boom,35,240,240,,0,12,300,240,,,
Dorette Kouwenhoven,35,240,240,,0,11,300,240,,,
Roos Denisse,35,240,240,,0,12,300,240,,,
Merel Peletier,35,240,240,,0,9,300,240,,,
